,year,ticker,yearly adjsuted close,yearly percent change,year open,year adjusted close
226,2019,AME,32.0385,0.4800494456098292,66.74,98.7785
227,2020,AME,20.591399999999993,0.20560559161258105,100.15,120.7414
228,2015,AMGN,-19.981099999999998,-0.12475711788211787,160.16,140.1789
229,2016,AMGN,-29.40209999999999,-0.18491886792452825,159.0,129.5979
230,2017,AMGN,10.571799999999996,0.07149871500067628,147.86,158.4318
231,2018,AMGN,7.117899999999992,0.04059252922725972,175.35,182.4679
232,2019,AMGN,40.34739999999999,0.2095751090795761,192.52,232.8674
233,2020,AMGN,-14.788900000000012,-0.060859670781893055,243.0,228.2111
234,2015,APH,-29.263,-0.5416065148991301,54.03,24.767
235,2016,APH,-18.901600000000002,-0.37011161151360883,51.07,32.1684
236,2017,APH,-25.170399999999994,-0.37250850969365096,67.57,42.3996
237,2018,APH,-48.9627,-0.5534384537131231,88.47,39.5073
238,2019,APH,-26.385200000000005,-0.33113955823293173,79.68,53.2948
239,2020,APH,-43.306700000000006,-0.3995083025830259,108.4,65.0933
240,2015,ADI,-6.367899999999999,-0.11436602011494251,55.68,49.3121
241,2016,ADI,12.303000000000004,0.2268252212389381,54.24,66.543
242,2017,ADI,10.774900000000002,0.14841460055096423,72.6,83.3749
243,2018,ADI,-7.238500000000002,-0.08111272971761545,89.24,82.0015
244,2019,ADI,31.828000000000003,0.37876948708794483,84.03,115.858
245,2020,ADI,26.959700000000012,0.22445841312130557,120.11,147.0697
246,2015,ANSS,10.409999999999997,0.12681203557071502,82.09,92.5
247,2016,ANSS,1.0899999999999892,0.011925601750546928,91.4,92.49
248,2017,ANSS,54.47,0.5849441580756013,93.12,147.59
249,2018,ANSS,-5.210000000000008,-0.03516706041174491,148.15,142.94
250,2019,ANSS,117.22000000000003,0.8361509380126972,140.19,257.41
251,2020,ANSS,106.79000000000002,0.41550912415859315,257.01,363.8
252,2015,ANTM,2.922699999999992,0.023076983813659628,126.65,129.5727
253,2016,ANTM,-1.4540999999999826,-0.010562981258172182,137.66,136.2059
254,2017,ANTM,71.6577,0.49576380240763807,144.54,216.1977
255,2018,ANTM,30.351400000000012,0.13489511111111116,225.0,255.3514
256,2019,ANTM,38.6395,0.14952788204790834,258.41,297.0495
257,2020,ANTM,17.336599999999976,0.05727888459378192,302.67,320.0066
258,2015,AON,-8.48939999999999,-0.08890355010995905,95.49,87.0006
259,2016,AON,15.855400000000003,0.17479219490684603,90.71,106.5654
260,2017,AON,17.365499999999997,0.15492461414934425,112.09,129.4555
261,2018,AON,8.08420000000001,0.06021750465549355,134.25,142.3342
262,2019,AON,62.34039999999999,0.4341858197520545,143.58,205.9204
263,2020,AON,1.5926000000000045,0.007612810707457,209.2,210.7926
264,2015,APA,-22.5753,-0.3630636860726922,62.18,39.6047
265,2016,APA,13.429900000000004,0.3035005649717515,44.25,57.6799
